"Municipio";"Nenhuma";"De 1 a 3 consultas";"De 4 a 6 consultas";"7 ou mais consultas";"Ignorado";"Total"
"251520 Sao Sebastiao do Umbuzeiro";1;-;11;32;-;44
"251540 Sao Vicente do Serido";3;4;33;126;1;167
"251530 Sape";34;80;226;357;34;731
"251550 Serra Branca";2;7;28;106;-;143
"251560 Serra da Raiz";1;1;7;25;1;35
"251570 Serra Grande";-;1;11;18;-;30
"251580 Serra Redonda";1;7;30;68;1;107
"251590 Serraria";-;1;9;49;-;59
"251593 Sertaozinho";6;2;7;57;-;72
"251597 Sobrado";2;1;26;65;3;97
"251600 Solanea";8;13;93;276;2;392
"251610 Soledade";4;15;55;144;5;223
"251615 Sossego";1;3;16;34;2;56
"251620 Sousa";15;40;203;680;2;940
"251630 Sume";2;5;38;180;1;226
"251640 Tacima";6;-;21;77;-;104
"251650 Taperoa";2;9;43;156;4;214
"251660 Tavares";-;11;47;134
"251670 Teixeira";5;10;52;131;-;198
"251675 Tenorio";-;4;9;29;-;42
"251680 Triunfo";1;4;33;70;-;108
"251690 Uirauna";3;7;57;118;1;186
"251700 Umbuzeiro";3;5;34;76;2;120
"251710 Varzea";-;-;5;30;-;35
"251720 Vieiropolis";1;1;12;31;-;45
"250550 Vista Serrana";1;-;15;26;1;43
"251740 Zabele";-;3;9;28;-;40
"Total";1254;3435;15097;35959;1109;56854
