"Municipio";"Nenhuma";"De 1 a 3 consultas";"De 4 a 6 consultas";"7 ou mais consultas";"Ignorado";"Total"
"250010 Agua Branca";-;3;33;70;-;106
"250020 Aguiar";1;1;8;41;-;51
"250030 Alagoa Grande";16;23;124;246;1;410
"250040 Alagoa Nova";11;12;74;184;-;281
"250050 Alagoinha";7;5;53;157;1;223
"250053 Alcantil";1;1;20;63;-;85
"250057 Algodao de Jandaira";-;-;9;30;-;39
"250060 Alhandra";2;27;123;236;16;404
"250073 Amparo";-;1;12;31;-;44
"250077 Aparecida";-;10;28;62;-;100
"250080 Aracagi";4;17;81;129;-;231
"250090 Arara";3;7;45;101;2;158
"250100 Araruna";3;17;104;118;-;242
"250110 Areia";12;32;121;187;3;355
"250115 Areia de Baraunas";-;2;6;17;-;25
"250120 Areial";2;4;25;81;-;112
"250130 Aroeiras";4;18;103;151;-;276
"250135 Assuncao";-;2;17;47;-;66
"250140 Baia da Traicao";-;15;46;104;6;171
"250150 Bananeiras";4;4;43;234;-;285
"250153 Barauna";1;1;6;64;-;72
"250160 Barra de Santa Rosa";5;9;38;123;-;175
"250157 Barra de Santana";5;8;24;72;-;109
"250170 Barra de Sao Miguel";2;4;23;47;-;76
"250180 Bayeux";30;124;499;614;42;1309
"250190 Belem";5;7;37;175;1;225
"250200 Belem do Brejo do Cruz";1;9;28;45;-;83
"250205 Bernardino Batista";2;-;10;41;-;53
"250210 Boa Ventura";-;3;18;38;-;59
"250215 Boa Vista";4;1;16;91;-;112
"250220 Bom Jesus";1;1;15;16;-;33
"250230 Bom Sucesso";1;6;34;10;-;51
"250240 Bonito de Santa Fe";1;8;45;110;1;165
"250250 Boqueirao";8;12;79;168;-;267
"250270 Borborema";1;1;27;48;-;77
"250280 Brejo do Cruz";5;4;51;101;2;163
"250290 Brejo dos Santos";2;9;29;58;1;99
"250300 Caapora";8;14;79;272;14;387
"250310 Cabaceiras";2;4;20;35;-;61
"250320 Cabedelo";20;55;198;601;32;906
"250330 Cachoeira dos Indios";2;10;47;59;1;119
"250340 Cacimba de Areia";1;1;11;18;-;31
"250350 Cacimba de Dentro";2;7;64;158;-;231
"250355 Cacimbas";2;9;69;52;2;134
"250360 Caicara";2;4;22;74;1;103
"250370 Cajazeiras";15;30;247;610;10;912
"250375 Cajazeirinhas";-;2;10;42;-;54
"250380 Caldas Brandao";1;4;27;36;1;69
"250390 Camalau";1;4;19;40;-;64
"250400 Campina Grande";543;508;1826;3312;10;6199
"250403 Capim";-;10;35;50;4;99
"250407 Caraubas";2;3;16;37;1;59
"250410 Carrapateira";-;4;9;14;-;27
"250415 Casserengue";2;3;8;73;-;86
"250420 Catingueira";-;9;30;34;1;74
"250430 Catole do Rocha";6;20;110;265;-;401
"250435 Caturite";4;2;22;55;-;83
"250440 Conceicao";13;15;99;91;2;220
"250450 Condado";4;11;26;64;-;105
"250460 Conde";-;14;87;340;17;458
"250470 Congo";2;3;20;78;1;104
"250480 Coremas";1;14;85;120;2;222
"250485 Coxixola";1;5;5;11;-;22
"250490 Cruz do Espirito Santo";3;22;110;124;3;262
"250500 Cubati";1;1;15;73;-;90
"250510 Cuite";10;11;70;159;-;250
"250523 Cuite de Mamanguape";-;4;29;42;4;79
"250520 Cuitegi";2;5;38;54;2;101
"250527 Curral de Cima";-;8;39;34;8;89
"250530 Curral Velho";1;1;6;15;-;23
"250535 Damiao";1;-;19;45;-;65
"250540 Desterro";3;3;47;59;8;120
"250560 Diamante";1;2;19;50;-;72
"250570 Dona Ines";5;5;27;113;1;151
"250580 Duas Estradas";4;1;18;40;-;63
"250590 Emas";-;1;6;26;-;33
"250600 Esperanca";3;15;97;406;-;521
"250610 Fagundes";4;14;78;89;1;186
"250620 Frei Martinho";1;-;8;21;-;30
"250625 Gado Bravo";1;9;28;62;-;100
"250630 Guarabira";24;39;164;629;6;862
"250640 Gurinhem";4;5;60;98;6;173
"250650 Gurjao";-;1;6;39;-;46
"250660 Ibiara";4;1;20;64;-;89
"250260 Igaracy";1;3;11;43;-;58
"250670 Imaculada";2;4;62;100;-;168
"250680 Inga";6;13;82;118;-;219
"250690 Itabaiana";16;48;129;138;7;338
"250700 Itaporanga";10;14;122;148;2;296
"250710 Itapororoca";11;25;87;128;8;259
"250720 Itatuba";11;20;53;84;2;170
"250730 Jacarau";2;7;60;135;7;211
"250740 Jerico";7;8;34;55;-;104
"250750 Joao Pessoa";143;753;2877;7079;450;11302
"251365 Joca Claudino";-;-;5;20;-;25
"250760 Juarez Tavora";3;8;48;65;-;124
"250770 Juazeirinho";10;6;74;206;-;296
"250780 Junco do Serido";-;5;26;71;-;102
"250790 Juripiranga";3;16;46;108;2;175
"250800 Juru";1;4;63;47;-;115
"250810 Lagoa";1;3;8;50;-;62
"250820 Lagoa de Dentro";6;8;35;85;3;137
"250830 Lagoa Seca";13;22;106;293;-;434
"250840 Lastro";-;2;10;31;-;43
"250850 Livramento";3;5;22;52;2;84
"250855 Logradouro";1;-;7;45;-;53
"250860 Lucena";2;20;72;84;6;184
"250870 Mae d'Agua";-;-;19;30;1;50
"250880 Malta";-;1;21;53;2;77
"250890 Mamanguape";10;48;216;433;25;732
"250900 Manaira";5;14;69;76;2;166
"250905 Marcacao";1;9;47;89;6;152
"250910 Mari";3;8;77;181;10;279
"250915 Marizopolis";1;1;16;70;-;88
"250920 Massaranduba";7;9;72;97;-;185
"250930 Mataraca";3;10;53;73;1;140
"250933 Matinhas";-;3;16;48;-;67
"250937 Mato Grosso";3;1;9;27;2;42
"250939 Matureia";1;2;11;52;1;67
"250940 Mogeiro";8;4;55;134;-;201
"250950 Montadas";7;4;13;83;-;107
"250960 Monte Horebe";-;3;20;39;-;62
"250970 Monteiro";6;23;132;292;-;453
"250980 Mulungu";3;20;58;55;1;137
"250990 Natuba";5;1;22;72;-;100
"251000 Nazarezinho";2;4;18;85;-;109
"251010 Nova Floresta";8;10;48;93;-;159
"251020 Nova Olinda";2;1;13;73;1;90
"251030 Nova Palmeira";-;2;7;33;-;42
"251040 Olho d'Agua";1;8;45;59;1;114
"251050 Olivedos";1;5;17;39;-;62
"251060 Ouro Velho";-;2;8;31;-;41
"251065 Parari";-;4;12;10;-;26
"251070 Passagem";-;-;8;13;-;21
"251080 Patos";17;86;413;1011;8;1535
"251090 Paulista";2;6;30;101;-;139
"251100 Pedra Branca";1;-;13;32;-;46
"251110 Pedra Lavrada";-;1;9;85;-;95
"251120 Pedras de Fogo";5;18;128;296;9;456
"251272 Pedro Regis";1;11;21;32;4;69
"251130 Pianco";2;6;61;112;1;182
"251140 Picui";8;3;40;218;-;269
"251150 Pilar";3;8;67;121;4;203
"251160 Piloes";5;5;31;96;1;138
"251170 Piloezinhos";1;3;19;57;-;80
"251180 Pirpirituba";5;6;49;101;1;162
"251190 Pitimbu";5;7;97;114;9;232
"251200 Pocinhos";4;11;39;192;1;247
"251203 Poco Dantas";-;-;12;37;-;49
"251207 Poco de Jose de Moura";-;1;13;30;-;44
"251210 Pombal";-;1;41;391;-;433
"251220 Prata";-;5;9;32;-;46
"251230 Princesa Isabel";2;5;45;285;-;337
"251240 Puxinana";8;10;63;130;-;211
"251250 Queimadas";20;38;166;447;1;672
"251260 Quixaba";-;3;6;14;1;24
"251270 Remigio";10;20;96;159;-;285
"251274 Riachao";-;-;9;36;-;45
"251275 Riachao do Bacamarte";4;3;16;40;-;63
"251276 Riachao do Poco";-;-;21;33;2;56
"251278 Riacho de Santo Antonio";2;4;13;13;-;32
"251280 Riacho dos Cavalos";2;3;33;76;1;115
"251290 Rio Tinto";1;25;117;158;15;316
"251300 Salgadinho";1;7;20;18;1;47
"251310 Salgado de Sao Felix";2;6;43;79;4;134
"251315 Santa Cecilia";2;7;39;58;-;106
"251320 Santa Cruz";-;4;21;49;-;74
"251330 Santa Helena";1;-;9;55;-;65
"251335 Santa Ines";2;1;25;15;-;43
"251340 Santa Luzia";2;8;25;132;1;168
"251370 Santa Rita";56;191;904;1073;33;2257
"251380 Santa Teresinha";-;1;14;38;1;54
"251350 Santana de Mangueira";1;2;15;53;-;71
"251360 Santana dos Garrotes";1;5;43;54;-;103
"251385 Santo Andre";1;-;3;34;-;38
"251392 Sao Bentinho";2;1;10;52;-;65
"251390 Sao Bento";5;14;82;359;-;460
"251396 Sao Domingos";2;1;9;24;-;36
"251394 Sao Domingos do Cariri";-;1;18;16;-;35
"251398 Sao Francisco";-;-;8;39;-;47
"251400 Sao Joao do Cariri";4;3;21;25;1;54
"250070 Sao Joao do Rio do Peixe";4;4;56;117;-;181
"251410 Sao Joao do Tigre";3;6;14;46;-;69
"251420 Sao Jose da Lagoa Tapada";1;3;33;80;-;117
"251430 Sao Jose de Caiana";8;6;32;48;-;94
"251440 Sao Jose de Espinharas";1;-;19;27;1;48
"251450 Sao Jose de Piranhas";3;16;111;115;3;248
"251455 Sao Jose de Princesa";1;3;9;19;-;32
"251460 Sao Jose do Bonfim";-;1;7;34;1;43
"251465 Sao Jose do Brejo do Cruz";-;-;-;21;-;21
"251470 Sao Jose do Sabugi";1;-;6;48;-;55
"251480 Sao Jose dos Cordeiros";-;1;4;40;-;45
"251445 Sao Jose dos Ramos";2;1;28;43;1;75
"251490 Sao Mamede";3;1;24;68;1;97
