"Municipio";"Nenhuma";"De 1 a 3 consultas";"De 4 a 6 consultas";"7 ou mais consultas";"Ignorado";"Total"
"251500 Sao Miguel de Taipu";4;7;43;71;1;126
"251510 Sao Sebastiao de Lagoa de Roca";1;8;50;84;-;143
"251520 Sao Sebastiao do Umbuzeiro";2;-;10;25;-;37
"251540 Sao Vicente do Serido";4;6;26;125;-;161
"251530 Sape";23;69;249;341;36;718
"251550 Serra Branca";4;2;23;110;-;139
"251560 Serra da Raiz";2;-;4;33;-;39
"251570 Serra Grande";3;-;15;22;-;40
"251580 Serra Redonda";3;6;39;52;-;100
"251590 Serraria";-;5;18;57;1;81
"251593 Sertaozinho";1;1;8;67;1;78
"251597 Sobrado";1;4;26;78;2;111
"251600 Solanea";8;20;132;218;2;380
"251610 Soledade";9;10;72;118;-;209
"251615 Sossego";1;4;32;28;-;65
"251620 Sousa";7;38;246;713;2;1006
"251630 Sume";3;7;47;186;1;244
"251640 Tacima";3;1;5;70;-;79
"251650 Taperoa";3;13;58;143;6;223
"251660 Tavares";2;9;35;120;2;
"251670 Teixeira";1;9;88;145;1;244
"251675 Tenorio";-;-;10;49;-;59
"251680 Triunfo";1;3;35168
"251690 Uirauna";1;5;45;131;-;182
"251700 Umbuzeiro";1;3;29;87;-;120
"251710 Varzea";-;1;7;26;2;36
"251720 Vieiropolis";-;3;13;30;-;46
"250550 Vista Serrana";1;4;15;31;-;51
"251740 Zabele";1;1;10;33;-;45
"Total";1486;3335;16010;35020;919;56770
