"Municipio";"Nascim_p/resid.mae"
"250010 Agua Branca";133
"250020 Aguiar";68
"250030 Alagoa Grande";474
"250040 Alagoa Nova";352
"250050 Alagoinha";191
"250053 Alcantil";105
"250057 Algodao de Jandaira";53
"250060 Alhandra";389
"250073 Amparo";43
"250077 Aparecida";101
"250080 Aracagi";210
"250090 Arara";182
"250100 Araruna";251
"250110 Areia";383
"250115 Areia de Baraunas";29
"250120 Areial";87
"250130 Aroeiras";325
"250135 Assuncao";67
"250140 Baia da Traicao";194
"250150 Bananeiras";327
"250153 Barauna";54
"250160 Barra de Santa Rosa";191
"250157 Barra de Santana";123
"250170 Barra de Sao Miguel";88
"250180 Bayeux";1415
"250190 Belem";248
"250200 Belem do Brejo do Cruz";79
"250205 Bernardino Batista";55
"250210 Boa Ventura";81
"250215 Boa Vista";111
"250220 Bom Jesus";39
"250230 Bom Sucesso";53
"250240 Bonito de Santa Fe";218
"250250 Boqueirao";343
"250270 Borborema";72
"250280 Brejo do Cruz";162
"250290 Brejo dos Santos";90
"250300 Caapora";402
"250310 Cabaceiras";70
"250320 Cabedelo";925
"250330 Cachoeira dos Indios";155
"250340 Cacimba de Areia";48
"250350 Cacimba de Dentro";206
"250355 Cacimbas";132
"250360 Caicara";98
"250370 Cajazeiras";879
"250375 Cajazeirinhas";71
"250380 Caldas Brandao";73
"250390 Camalau";86
"250400 Campina Grande";6151
"250403 Capim";92
"250407 Caraubas";56
"250410 Carrapateira";26
"250415 Casserengue";94
"250420 Catingueira";77
"250430 Catole do Rocha";408
"250435 Caturite";74
"250440 Conceicao";231
"250450 Condado";118
"250460 Conde";452
"250470 Congo";77
"250480 Coremas";203
"250485 Coxixola";16
"250490 Cruz do Espirito Santo";271
"250500 Cubati";102
"250510 Cuite";256
"250523 Cuite de Mamanguape";90
"250520 Cuitegi";87
"250527 Curral de Cima";95
"250530 Curral Velho";26
"250535 Damiao";66
"250540 Desterro";132
"250560 Diamante";92
"250570 Dona Ines";153
"250580 Duas Estradas";50
"250590 Emas";54
"250600 Esperanca";531
"250610 Fagundes";171
"250620 Frei Martinho";31
"250625 Gado Bravo";136
"250630 Guarabira";852
"250640 Gurinhem";180
"250650 Gurjao";41
"250660 Ibiara";75
"250260 Igaracy";72
"250670 Imaculada";133
"250680 Inga";235
"250690 Itabaiana";323
"250700 Itaporanga";326
"250710 Itapororoca";233
"250720 Itatuba";166
"250730 Jacarau";211
"250740 Jerico";103
"250750 Joao Pessoa";11641
"251365 Joca Claudino";30
"250760 Juarez Tavora";132
"250770 Juazeirinho";329
"250780 Junco do Serido";104
"250790 Juripiranga";187
"250800 Juru";136
"250810 Lagoa";72
"250820 Lagoa de Dentro";113
"250830 Lagoa Seca";438
"250840 Lastro";49
"250850 Livramento";91
"250855 Logradouro";50
"250860 Lucena";244
"250870 Mae d'Agua";50
"250880 Malta";62
"250890 Mamanguape";798
"250900 Manaira";187
"250905 Marcacao";155
"250910 Mari";265
"250915 Marizopolis";79
"250920 Massaranduba";194
"250930 Mataraca";162
"250933 Matinhas";71
"250937 Mato Grosso";30
"250939 Matureia";83
"250940 Mogeiro";183
"250950 Montadas";79
"250960 Monte Horebe";89
"250970 Monteiro";469
"250980 Mulungu";125
"250990 Natuba";138
"251000 Nazarezinho";89
"251010 Nova Floresta";156
"251020 Nova Olinda";106
"251030 Nova Palmeira";45
"251040 Olho d'Agua";91
"251050 Olivedos";42
"251060 Ouro Velho";50
"251065 Parari";25
"251070 Passagem";36
"251080 Patos";1518
"251090 Paulista";170
"251100 Pedra Branca";53
"251110 Pedra Lavrada";101
"251120 Pedras de Fogo";488
"251272 Pedro Regis";84
"251130 Pianco";215
"251140 Picui";287
"251150 Pilar";193
"251160 Piloes";158
"251170 Piloezinhos";74
"251180 Pirpirituba";133
"251190 Pitimbu";274
"251200 Pocinhos";285
"251203 Poco Dantas";74
"251207 Poco de Jose de Moura";55
"251210 Pombal";430
"251220 Prata";60
"251230 Princesa Isabel";358
"251240 Puxinana";194
"251250 Queimadas";655
"251260 Quixaba";26
"251270 Remigio";277
"251274 Riachao";55
"251275 Riachao do Bacamarte";62
"251276 Riachao do Poco";65
"251278 Riacho de Santo Antonio";42
"251280 Riacho dos Cavalos";115
"251290 Rio Tinto";348
"251300 Salgadinho";47
"251310 Salgado de Sao Felix";131
"251315 Santa Cecilia";89
"251320 Santa Cruz";75
"251330 Santa Helena";74
"251335 Santa Ines";60
"251340 Santa Luzia";208
"251370 Santa Rita";2383
"251380 Santa Teresinha";68
"251350 Santana de Mangueira";67
"251360 Santana dos Garrotes";67
"251385 Santo Andre";30
"251392 Sao Bentinho";62
"251390 Sao Bento";460
