"Municipio";"Nascim_p/resid.mae"
"251396 Sao Domingos";46
"251394 Sao Domingos do Cariri";40
"251398 Sao Francisco";47
"251400 Sao Joao do Cariri";41
"250070 Sao Joao do Rio do Peixe";230
"251410 Sao Joao do Tigre";63
"251420 Sao Jose da Lagoa Tapada";114
"251430 Sao Jose de Caiana";95
"251440 Sao Jose de Espinharas";63
"251450 Sao Jose de Piranhas";265
"251455 Sao Jose de Princesa";48
"251460 Sao Jose do Bonfim";56
"251465 Sao Jose do Brejo do Cruz";24
"251470 Sao Jose do Sabugi";46
"251480 Sao Jose dos Cordeiros";61
"251445 Sao Jose dos Ramos";86
"251490 Sao Mamede";120
"251500 Sao Miguel de Taipu";104
"251510 Sao Sebastiao de Lagoa de Roca";161
"251520 Sao Sebastiao do Umbuzeiro";49
"251540 Sao Vicente do Serido";174
"251530 Sape";779
"251550 Serra Branca";154
"251560 Serra da Raiz";34
"251570 Serra Grande";41
"251580 Serra Redonda";101
"251590 Serraria";100
"251593 Sertaozinho";58
"251597 Sobrado";117
"251600 Solanea";414
"251610 Soledade";228
"251615 Sossego";52
"251620 Sousa";1029
"251630 Sume";234
"251640 Tacima";99
"251650 Taperoa";223
"251660 Tavares";226
"251670 Teixeira";234
"251675 Tenorio";52
"251680 Triunfo";104
"251690 Uirauna";204
"251700 Umbuzeiro";127
"251710 Varzea";33
"251720 Vieiropolis";48
"250550 Vista Serrana";41
"251740 Zabele";31
"Total";58741
